comuna,-99.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,999.0
6112,2,3,150,553,493,331,940,402,682,641,1476,180
6113,1,10,192,621,575,283,1108,1260,1094,791,1969,331
6114,4,4,152,569,440,247,863,640,858,622,1709,128
6115,30,19,731,3153,2485,1316,4443,1315,3830,2590,5693,1313
6116,32,7,635,1538,1122,649,1598,964,1638,1292,3094,362
6117,13,17,724,2562,1686,1008,3539,1365,2839,1702,5138,750
6201,12,6,434,1406,859,407,2108,379,1445,519,1344,149
6202,0,0,53,179,127,95,348,219,324,169,319,102
6203,4,3,133,356,293,152,784,318,671,364,666,61
6204,2,2,127,395,290,170,560,332,543,468,686,179
6205,3,3,170,550,287,145,706,218,676,197,633,155
6206,0,1,70,203,145,82,419,239,341,167,691,94
6301,36,69,1169,4852,3188,1942,6273,1193,3965,2774,6060,1034
6302,4,2,139,533,377,186,834,675,602,463,1919,77
6303,14,19,405,1440,1129,652,2292,1557,1849,1362,4317,598
6304,2,1,103,272,217,110,406,459,297,235,831,175
6305,6,4,220,709,610,429,1190,615,977,768,2391,196
6306,10,0,143,434,356,226,698,718,614,601,1528,170
6307,2,1,171,561,427,260,827,684,763,544,1196,117
6308,5,2,117,346,282,160,467,332,423,352,1280,77
6309,1,1,53,145,128,80,264,212,227,177,495,37
6310,30,13,666,2573,1578,953,3533,1008,2010,1343,3847,454
7101,182,134,4534,21334,10424,5885,20532,1444,12075,7144,13518,2832
7102,25,14,532,2105,1705,901,3525,1199,2624,2526,3030,478
7103,0,0,89,364,240,105,538,394,409,271,789,59
7104,0,1,35,108,115,72,231,100,152,251,407,27
7105,42,20,811,4233,2853,1657,5034,927,3394,2298,4004,983
7106,4,3,85,300,280,144,560,442,508,379,899,90
7107,7,2,110,368,307,159,532,647,401,401,964,75
7108,2,4,110,336,355,224,614,821,640,550,1969,230
7109,23,27,395,1418,1515,716,2870,1422,2666,1707,4685,361
7110,8,3,127,362,367,204,760,295,628,549,890,115
7201,106,13,314,1743,1210,664,2997,904,1855,1199,2899,685
7202,3,5,53,269,216,111,640,380,356,355,944,108
7203,1,1,102,403,261,124,700,561,480,188,535,77
7301,63,36,2961,11463,6802,4084,13372,2594,8676,5435,13115,2069
7302,1,1,88,484,297,151,749,373,548,336,1053,142
7303,5,1,100,328,256,106,572,376,399,233,496,127
7304,13,7,530,1867,1713,1141,3463,1261,2319,2085,5461,616
7305,4,2,118,402,355,214,699,545,530,391,1340,76
7306,12,5,275,700,611,365,1030,839,819,836,1978,218
7307,6,2,223,604,541,384,883,1126,817,766,2414,223
7308,10,1,287,911,944,541,1613,1282,1549,1432,3239,387
7309,0,5,44,207,128,72,423,264,398,101,440,72
7401,86,192,1369,6332,3935,2161,8169,1455,5332,3127,6099,1309
7402,17,8,159,731,765,342,1336,681,1577,836,1808,263
7403,5,11,188,719,801,385,1641,1409,1274,1183,4051,404
7404,16,11,462,2236,1347,714,3247,1070,2470,1279,3319,549
7405,2,2,164,557,480,317,993,1085,822,725,2410,262
7406,32,24,441,2120,1514,833,3633,995,2356,2028,3797,918
7407,16,3,146,607,613,329,1082,477,940,707,1783,130
7408,5,4,124,462,561,284,947,849,937,796,2089,221
8101,233,383,6233,30757,12075,6482,21247,645,11328,6009,9824,2318
8102,100,142,1012,5647,5102,2631,8653,1278,7601,4503,6269,2297
8103,92,78,2006,8051,4522,2194,7753,262,5206,2349,4153,919
8104,5,10,121,548,461,217,896,418,735,575,802,140
8105,25,14,205,909,908,421,2273,463,1772,855,1702,294
8106,28,24,225,1137,1335,851,2745,424,2809,1193,3134,685
8107,16,57,514,2664,2364,1384,4438,299,3116,1592,2908,672
8108,113,192,4777,16391,7965,3696,12707,666,8976,4361,8060,1434
8109,6,9,119,587,508,199,1061,496,810,681,791,273
8110,154,682,2375,10879,7355,4048,11462,1312,8070,4346,6570,2326
8111,23,97,585,3392,2250,1096,4660,937,3124,1787,3134,1051
8112,85,177,1159,5928,5001,2631,8207,276,5445,3102,4105,1159
8201,5,15,186,1090,701,479,1670,1924,959,536,1486,620
8202,24,11,460,1820,1429,671,2585,1344,2445,1654,2065,303
8203,6,9,337,1615,1049,545,2569,881,1493,1105,1875,430
8204,3,1,42,227,188,89,360,184,224,211,340,127
8205,15,6,206,1350,1132,561,1909,459,1358,1560,2492,497
8206,12,8,136,741,588,351,1447,559,988,940,1497,205
8207,0,7,68,329,239,127,560,678,354,244,583,138
8301,219,231,3605,15364,8859,4989,17209,3058,11908,9193,11579,3168
8302,2,1,42,157,122,74,312,81,327,167,193,56
8303,33,11,259,1076,1074,533,2231,419,2072,1661,2075,378
8304,69,5,179,1072,946,345,1411,216,1957,753,1058,183
8305,17,18,176,1032,757,366,2058,710,1279,1354,2256,341
8306,29,8,245,1129,962,418,1548,357,1796,1233,1244,270
8307,4,7,88,330,338,160,639,286,760,449,687,166
8308,1,1,23,134,138,63,256,118,240,137,218,39
8309,11,7,52,245,294,121,537,266,634,424,553,61
8310,3,0,35,171,133,63,198,42,262,111,152,54
8311,4,4,132,503,510,232,1026,515,834,588,804,139
8312,2,5,135,606,541,220,1104,352,1042,652,914,158
8313,12,18,172,853,617,314,1602,537,1209,689,1292,233
8314,2,1,33,121,123,70,305,51,215,104,283,77
9101,271,343,6181,32403,14226,8060,26483,1616,15290,8231,13128,3822
9102,30,10,106,803,587,270,1541,704,1119,783,1550,294
9103,7,5,144,694,538,245,1289,801,1225,536,1035,138
9104,2,0,47,243,207,122,484,247,603,167,457,64
